City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,amapa,1.0,-52.0,77.94,95,93,3.22,BR,1580240069
283,namibe,-15.2,12.15,74.25,85,100,10.49,AO,1580240069
284,samarai,-10.62,150.67,78.22,83,86,2.04,PG,1580240069
285,aklavik,68.22,-135.01,-22.0,74,90,11.41,CA,1580240069
286,taoudenni,22.68,-3.98,72.1,18,99,10.58,ML,1580240069
287,itarema,-2.92,-39.92,80.35,77,100,5.73,BR,1580240069
288,soyo,-6.13,12.37,84.2,83,20,6.93,AO,1580240070
289,san ignacio,17.16,-89.07,86.0,62,20,4.7,BZ,1580240070
290,port hardy,50.7,-127.42,42.8,87,75,4.7,CA,1580240070
291,harindanga,22.04,88.32,62.6,82,40,3.36,IN,1580240070
292,cabra,37.47,-4.44,57.0,87,75,1.12,ES,1580240070
293,lompoc,34.64,-120.46,71.01,51,1,12.75,US,1580239869
294,gilgit,35.92,74.31,9.68,50,100,2.66,PK,1580239798
295,west richland,46.3,-119.36,53.6,93,40,11.27,US,1580239800
296,fara in sabina,42.21,12.73,59.0,82,75,11.41,IT,1580240070
297,chepareria,1.31,35.2,64.26,92,100,2.86,KE,1580240071
298,moshupa,-24.78,25.42,73.4,69,0,8.05,BW,1580240071
299,kulhudhuffushi,6.62,73.07,81.82,68,82,10.07,MV,1580240071
300,tezu,27.92,96.17,49.77,58,0,3.04,IN,1580240052
301,nagothana,18.53,73.13,75.2,64,40,8.05,IN,1580240071
302,keti bandar,24.14,67.45,64.17,40,0,7.96,PK,1580240071
303,macas,-2.32,-78.12,68.0,94,40,6.93,EC,1580240071
304,escarcega,18.61,-90.75,93.72,35,4,3.15,MX,1580240071
305,coahuayana,18.73,-103.68,75.2,53,40,6.93,MX,1580240072
306,soldotna,60.49,-151.06,7.0,83,90,5.82,US,1580239823
307,laguna,38.42,-121.42,61.0,76,90,4.7,US,1580240072
308,kysyl-syr,63.9,122.76,-21.68,99,92,5.93,RU,1580240072
309,bemidji,47.47,-94.88,14.0,92,90,3.4,US,1580240072
310,larsnes,62.2,5.58,35.6,79,91,13.87,NO,1580240072
311,lagoa,39.05,-27.98,63.16,87,0,19.35,PT,1580240072
312,nemuro,43.32,145.57,29.62,64,74,9.42,JP,1580240072
313,joao pinheiro,-17.74,-46.17,75.7,91,46,4.81,BR,1580240072
314,nyrob,60.73,56.72,-18.56,97,21,3.44,RU,1580240072
315,mweka,-4.85,21.57,74.07,73,62,2.73,CD,1580240073
316,hurghada,27.26,33.81,64.4,23,0,12.75,EG,1580240073
317,gouyave,12.16,-61.73,84.2,74,20,20.8,GD,1580240073
318,ca mau,9.18,105.15,69.22,94,95,3.0,VN,1580239817
319,neiafu,-18.65,-173.98,77.0,94,20,4.72,TO,1580240073
320,castelo do piaui,-5.32,-41.55,77.76,88,49,3.15,BR,1580240073
321,turayf,31.67,38.66,50.0,36,75,6.93,SA,1580240073
322,klaksvik,62.23,-6.59,30.2,100,31,1.12,FO,1580240073
323,san borja,-14.82,-66.85,84.11,67,99,3.22,BO,1580240102
324,iraray,8.99,118.05,73.54,93,87,4.34,PH,1580240102
